Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2014,"6         ",Female,12,Right-Handed,134,21,133,2,Car,10,0.37,59,Running/Jogging,1000,1000,1000,936,791,706,21,"Same length",75,65,"Index finger",March,Summer,Yes,No,"No favorite",Water,"Physical education",8,8,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",2,6,9,0,4,8,14,1,2,1,1,3,0,1,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,"Sports person",Health
USA,PA,2010,"6         ",Female,12,Right-Handed,170,23,170,1,Car,5,0.281,0.45,Soccer,952,1000,1000,,551,631,24,"Left foot",33,32,"Ring finger",September,Fall,Yes,No,Fruit,Water,Music,4,6,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",25,145,15,50,40,5,13,16,14,56,36,14,21,15,"A lot","Graduate degree",Country,Fly,Happy,"Musician or singer",Environment
USA,KY,2012,"6         ",Female,11,Right-Handed,59,56,59,1,Bus,30,0.389,41,Gymnastics,0,0,0,0,10,100,56,"Same length",50,60,"Ring finger",September,Summer,No,No,Desserts,"Soft drink (caffeinated)",Art,9,12,5,"Yes - other","Text messaging",200,215,10,10,0,10,9,10,10,100,100,12,10,10,"A lot","High school",Country,"Freeze time",Rich,Relative,Health
USA,CO,2016,"7         ",Female,12,Left-Handed,160,,162,2,Car,5,0.444,61,Soccer,999,999,999,999,1000,99999,,,80,75,"Ring finger",May,Fall,No,Yes,"No favorite",Juice,Art,8,10,6,"Yes - broadband connection","In person",0,0,10,0,2,5,10,4,2,0,12,6,0,8,,,,,,,
USA,NY,2013,"8         ",Female,12,Right-Handed,165.1,24.5,162,2,Bus,5,0.327,35,Basketball,1000,500,900,900,900,1000,24.5,,70,75,"Ring finger",February,Winter,No,No,Soups,Milk,Science,9,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",15,50,2,1,14,6,2,0,4,2,15,0,0,1,Some,"Graduate degree",Techno/Electronic,Telepathy,Happy,"Religious figure","International aid"
USA,NY,2016,"6         ",Female,11,Right-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,DC,2010,"6         ",Female,12,Right-Handed,152.5,9.5,154.9,1,"Rail (Train/Tram/Subway)",45,0.891,0.46,Dancing,48,123,1000,,128,497,9.5,"Same length",80,80,"Same length",January,Summer,Yes,No,Poultry,Juice,"Social studies",6,10,3.5,"Yes - dial-up connection","Text messaging",500,500,7,21,5,3,1,7,6,158,5,8,0,0,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,"Sports person",Health
USA,NY,2016,"6         ",Female,11,Right-Handed,154,23,155,1,Car,8,0.412,44,Other,1000,861,1000,781,5,193,23,"Same length",65,65,"Same length",April,Fall,No,No,"No favorite",Milk,"Mathematics and statistics",8,9,6,"Yes - broadband connection","In person",10,20,20,1,3,4,10,1,0,5,2,5,0,5,None,"Graduate degree",Other,Invisibility,Happy,Relative,"International aid"
USA,WI,2014,"8         ",Female,14,Right-Handed,166,24,139,1,Car,7,.391,38,Soccer,700,700,1000,800,400,900,24,"Same length",67,69,"Ring finger",January,Summer,No,No,Meat,Water,English,8,10,5,"Yes - broadband connection","Text messaging",40,45,15,.5,1,3,6,.25,.5,20,10,11,0,1,"Very little","Graduate degree",Pop,Fly,Happy,Relative,Health
USA,NE,2012,"6         ",Female,11,Right-Handed,147,22,138,1,Bus,30,0.611,57,Basketball,,,,,,95,22,"Same length",7,6.5,"Index finger",April,Summer,No,No,Meat,Water,"Mathematics and statistics",19,18,4,"Yes - broadband connection","Text messaging",10,15,,,,,,,,12,,3,,1,"Very little",Other,"Rap/Hip hop",Telepathy,Healthy,Relative,Health
USA,NC,2013,"6         ",Female,11,Right-Handed,105.5,23,152,2,Bus,45,0.49,55,Swimming,25,262,738,471,759,839,24.5,"Left foot",7,8,"Ring finger",July,Spring,No,No,Meat,Tea,"Physical education",5,0,4,"Yes - broadband connection","Cell phone",7,8,8,10,1,2,20,6,4,10,7,15,5,0,"A lot","Some college",Country,Fly,Happy,Relative,"International aid"
USA,OH,2016,"8         ",Female,13,Right-Handed,173,24,164,1,Car,7,0.388,42,Rowing,600,800,400,600,100,300,23.5,"Right foot",75,88,"Ring finger",March,,No,No,Breads/Sandwiches,Water,English,8,7,4,"Yes - broadband connection",,7,6,35,5.5,7.5,138,10,3,5,4,53,9,0,4,"A lot",Other,Other,"Freeze time",,Relative,Health
USA,WI,2013,"8         ",Female,14,Right-Handed,180,25,79,1,Bus,20,0.408,63,Dancing,1000,945,1000,1000,500,765,26,"Left foot",10,8,"Index finger",August,Summer,No,No,Pizza/Pasta,Juice,Art,5,8,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",30,25,9,2,1,3,8,4,5,3,7,6,9,2,"A lot","Undergraduate degree",Pop,Invisibility,Famous,Relative,"International aid"
USA,NY,2014,"6         ",Female,11,Right-Handed,47,10,146,2,Car,7,1.029,50,Soccer,1000,1000,1000,1000,0,0,10,"Same length",3,7,"Same length",September,Fall,Yes,Yes,Fruit,Water,English,9,3,3,"Yes - broadband connection","Text messaging",0,4,1,0,1,0,3,2,0,0,0,0,0,0,"Very little","Graduate degree","Rap/Hip hop",Invisibility,Happy,Friend,"Wildlife, animals"
USA,CO,2015,"7         ",Female,13,Right-Handed,,,,2,Car,15,0.888,65,Soccer,999,999,1000,999,100,1000,,"Same length",,,"Same length",October,Summer,No,No,Fruit,Water,English,7,15,4,,,4,,,,,,,,,,,,,,,,,,,,
USA,WI,2016,"7         ",Female,13,Right-Handed,176,28,175,2,Bus,30,.309,46,Basketball,0,0,0,500,1000,1000,28,"Same length",80,80,"Ring finger",September,Summer,No,No,Pizza/Pasta,Milk,"Physical education",7,8,4,"Yes - broadband connection","Text messaging",100,100,12,0,0,5,12,0,4,5,24,0,0,2,"Very little","Graduate degree","Rap/Hip hop",,Famous,"Sports person",Health
USA,KY,2012,"6         ",Female,11,Right-Handed,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2015,"7         ",Female,13,Right-Handed,161,24,161,1,Car,5,0.403,41,Soccer,100,100,100,100,1000,1000,24,"Same length",90,90,"Same length",March,Summer,No,No,Pizza/Pasta,Juice,Science,9,11,5,"Yes - broadband connection","Text messaging",95,100,50,1,6,1,9,10,10,10,10,5,4,9,"A lot",,Pop,"Freeze time",Rich,Friend,"Arts, culture, sports"
USA,CA,2015,"6         ",Female,11,Ambidextrous,157,21,,1,Car,6,1.272,63,Baseball/Softball,100,600,1000,500,800,700,20,"Right foot",20,17,"Index finger",April,Summer,Yes,No,Pizza/Pasta,Juice,Music,7,10,5,"Yes - broadband connection","Cell phone",0,0,3,0,,,,,,,,,,,,,,,,,
USA,NC,2013,"6         ",Female,12,Right-Handed,152,22,152,1,Car,5,.438,39,Other,850,900,950,900,700,800,23,"Left foot",75,69,"Ring finger",October,Summer,No,No,"No favorite",Tea,"Mathematics and statistics",9,7,4,"Yes - other","Cell phone",35,35,5,3,5,10,10,6,4,5,6,10,0,4,Some,"Graduate degree",Country,Invisibility,Healthy,"Sports person",Health
USA,MT,2015,"6         ",Female,11,Right-Handed,156,27,157,1,Car,8,.497,50,Baseball/Softball,500,1000,200,400,503,850,28,"Left foot",70,60,"Index finger",August,Spring,No,No,Fruit,Water,"Physical education",10,14,5,"Yes - other","Text messaging",10,10,10,2,1,11,16,2,2,4,5,6,0,2,"Very little","Less than high school",Pop,Telepathy,Healthy,"Sports person","Arts, culture, sports"
USA,AR,2016,"8         ",Female,14,Left-Handed,151,23,,2,Bus,32,0.43,37,Other,701,759,893,941,561,727,22,"Right foot",7,6,"Index finger",October,Summer,No,No,"Rice/Noodle dishes",Tea,English,8,10,7,"Yes - broadband connection","Cell phone",7,8,5,1,3,8,1,1,5,4,7,9,4,3,"Very little","Graduate degree",Pop,Telepathy,Happy,Actor,"Education/Youth development"
USA,FL,2016,"7         ",Female,12,Right-Handed,170,22,183,1,Car,30,,,Swimming,800,800,800,800,800,1000,23,"Left foot",75,65,"Index finger",April,Winter,No,No,Meat,Water,History,8,11,2,"Yes - broadband connection","Text messaging",0,0,2,2,10,5,3,7,28,3,16,45,3,3,"A lot","Graduate degree",Pop,"Super strength",Happy,"Musician or singer","Wildlife, animals"
USA,AR,2016,"7         ",Female,13,Right-Handed,167,25,169,1,Bus,30,.543,30,Swimming,824,551,797,818,11,16,23,"Right foot",70,70,"Same length",May,,Yes,No,"Rice/Noodle dishes",Tea,Music,9,7,5,"Yes - broadband connection","Text messaging",20,25,20,25,4,30,15,3,10,18,20,22,10,26,"Very little","Graduate degree","Heavy metal",Invisibility,Happy,Relative,"Wildlife, animals"
